Horizon,Quantile,QL_HAR-QR,QL_HAR-X-QR,Improvement (%)
1d,0.05,0.0004730038819645498,0.00047351514787107555,-0.1080891565630086
1d,0.25,0.0017007657398447013,0.001700122927356612,0.03779547488697694
1d,0.5,0.0024964403050020435,0.0024966310299616044,-0.007639876634691466
1d,0.75,0.002435338013425953,0.002436207942676232,-0.035721088632582214
1d,0.95,0.001192762030868905,0.0011947038280074433,-0.16279836952251514
1w,0.05,0.0003258557465131727,0.00032660405876633466,-0.22964525289773577
1w,0.25,0.0011641516045467384,0.0011644691286718304,-0.027275152467413553
1w,0.5,0.0016510621807891012,0.0016545172878055978,-0.2092657112917055
1w,0.75,0.0015403350502496739,0.0015431233858625827,-0.18102137015300063
1w,0.95,0.000691954998898041,0.0006954918239047647,-0.5111351189537168
1m,0.05,0.00028029877230054985,0.00028144402882124145,-0.4085842086613212
1m,0.25,0.0009366199711956487,0.0009401768496204465,-0.37975684206874555
1m,0.5,0.0012917386155966487,0.0012952238299316528,-0.2698080163372889
1m,0.75,0.0011588766034607413,0.0011666231003606546,-0.6684488129952713
1m,0.95,0.0004569374753004235,0.00046362170358223517,-1.46283214731227
3m,0.05,0.000262378618366922,0.0002631733405909962,-0.3028913823163836
3m,0.25,0.0008462599899549056,0.0008545446150388766,-0.9789692508578227
3m,0.5,0.0011649560251806373,0.0011696089991320483,-0.39941198215525137
3m,0.75,0.001050760193522797,0.001065143714805886,-1.3688681177449926
3m,0.95,0.0004324352523862645,0.0004183532165236418,3.256449557457496
6m,0.05,0.00026897963747402233,0.00026992661396913853,-0.35206252191029047
6m,0.25,0.0009004080251355901,0.0008984834436666343,0.21374548151833747
6m,0.5,0.0012089799170281758,0.001209757452942795,-0.06431338549695423
6m,0.75,0.001029189652986362,0.001035073929949402,-0.5717388380232761
6m,0.95,0.00045402291862311247,0.000387462387769017,14.660169811680321
12m,0.05,0.00027717252964213734,0.0002659381627006754,4.053203597040033
12m,0.25,0.0009191807266190081,0.0008862540171071706,3.582180147853057
12m,0.5,0.0012140829665341208,0.0012004553780121461,1.122459411557163
12m,0.75,0.001031747597702015,0.0010406828413026883,-0.8660299883977993
12m,0.95,0.00044627097778096266,0.00033275079379588426,25.43750089901567
